0 U (0, 0) [0, 0]
5459 L (-2, -53) [1, 5]
5460 U (-2, -52) [0, 4]
5461 L (-3, -52) [1, 3]
5462 U (-3, -51) [0, 2]
5463 R (-2, -51) [1, 1]
5464 U (-2, -50) [0, 0]
5465 R (-1, -50) [0, 0]
5466 D (-1, -51) [0, 2]
5467 R (0, -51) [0, 2]
5468 U (0, -50) [0, 0]
5469 L (-1, -50) [1, 1]
5470 U (-1, -49) [0, 0]
5471 R (0, -49) [0, 0]
5472 U (0, -48) [0, 0]
5473 R (1, -48) [0, 0]
5474 U (1, -47) [0, 0]
5475 R (2, -47) [0, 0]
5476 D (2, -48) [0, 0]
5477 L (1, -48) [1, 1]
5478 D (1, -49) [0, 0]
5479 L (0, -49) [1, 1]
5480 U (0, -48) [1, 1]
5481 L (-1, -48) [0, 0]
5482 U (-1, -47) [0, 0]
5483 R (0, -47) [0, 0]
5484 D (0, -48) [0, 2]
5485 L (-1, -48) [1, 1]
5486 D (-1, -49) [1, 1]
5487 R (0, -49) [0, 2]
5488 U (0, -48) [1, 3]
5489 L (-1, -48) [0, 2]
5490 D (-1, -49) [0, 2]
5491 R (0, -49) [1, 3]
5492 U (0, -48) [0, 4]
5493 R (1, -48) [0, 2]
5494 D (1, -49) [1, 1]
5495 R (2, -49) [0, 0]
5496 U (2, -48) [1, 1]
5497 R (3, -48) [0, 0]
5498 D (3, -49) [0, 0]
5499 R (4, -49) [0, 0]
5500 D (4, -50) [0, 0]
5501 L (3, -50) [0, 0]
5502 D (3, -51) [0, 0]
5503 L (2, -51) [0, 0]
5504 U (2, -50) [0, 0]
5505 L (1, -50) [0, 0]
5506 U (1, -49) [0, 2]
5507 L (0, -49) [0, 4]
5508 U (0, -48) [1, 5]
5509 L (-1, -48) [1, 3]
5510 D (-1, -49) [1, 3]
5511 R (0, -49) [1, 5]
5512 U (0, -48) [0, 6]
5513 R (1, -48) [1, 3]
5514 U (1, -47) [1, 1]
5515 L (0, -47) [1, 1]
5516 D (0, -48) [1, 7]
5517 R (1, -48) [0, 4]
5518 D (1, -49) [1, 3]
5519 L (0, -49) [0, 6]
5520 D (0, -50) [1, 1]
5521 L (-1, -50) [0, 2]
5522 D (-1, -51) [1, 3]
5523 R (0, -51) [1, 3]
5524 D (0, -52) [0, 2]
5525 R (1, -52) [0, 0]
5526 U (1, -51) [0, 0]
5527 L (0, -51) [0, 4]
5528 U (0, -50) [0, 2]
5529 L (-1, -50) [1, 3]
5530 D (-1, -51) [0, 4]
5531 R (0, -51) [1, 5]
5532 U (0, -50) [1, 3]
5533 R (1, -50) [1, 1]
5534 D (1, -51) [1, 1]
5535 R (2, -51) [1, 1]
5536 U (2, -50) [1, 1]
5537 L (1, -50) [0, 2]
5538 U (1, -49) [0, 4]
5539 R (2, -49) [1, 1]
5540 D (2, -50) [0, 2]
5541 L (1, -50) [1, 3]
5542 U (1, -49) [1, 5]
5543 R (2, -49) [0, 2]
5544 U (2, -48) [0, 2]
5545 L (1, -48) [1, 5]
5546 U (1, -47) [0, 2]
5547 L (0, -47) [0, 2]
5548 U (0, -46) [0, 0]
5549 R (1, -46) [0, 0]
5550 U (1, -45) [0, 0]
5551 R (2, -45) [0, 0]
5552 U (2, -44) [0, 0]
5553 L (1, -44) [0, 0]
5554 U (1, -43) [0, 0]
5555 R (2, -43) [0, 0]
5556 U (2, -42) [0, 0]
5557 R (3, -42) [0, 0]
5558 D (3, -43) [0, 0]
5559 L (2, -43) [1, 1]
5560 D (2, -44) [1, 1]
5561 R (3, -44) [0, 0]
5562 D (3, -45) [0, 0]
5563 L (2, -45) [1, 1]
5564 D (2, -46) [0, 0]
5565 L (1, -46) [1, 1]
5566 D (1, -47) [1, 3]
5567 R (2, -47) [1, 1]
5568 U (2, -46) [1, 1]
5569 L (1, -46) [0, 2]
5570 D (1, -47) [0, 4]
5571 R (2, -47) [0, 2]
5572 D (2, -48) [1, 3]
5573 R (3, -48) [1, 1]
5574 D (3, -49) [1, 1]
5575 R (4, -49) [1, 1]
5576 D (4, -50) [1, 1]
5577 L (3, -50) [1, 1]
5578 U (3, -49) [0, 2]
5579 L (2, -49) [1, 3]
5580 D (2, -50) [1, 3]
5581 R (3, -50) [0, 2]
5582 D (3, -51) [1, 1]
5583 L (2, -51) [0, 2]
5584 D (2, -52) [0, 0]
5585 R (3, -52) [0, 0]
5586 U (3, -51) [0, 2]
5587 L (2, -51) [1, 3]
5588 U (2, -50) [0, 4]
5589 R (3, -50) [1, 3]
5590 D (3, -51) [1, 3]
5591 L (2, -51) [0, 4]
5592 U (2, -50) [1, 5]
5593 R (3, -50) [0, 4]
5594 D (3, -51) [0, 4]
5595 L (2, -51) [1, 5]
5596 D (2, -52) [1, 1]
5597 R (3, -52) [1, 1]
5598 D (3, -53) [0, 0]
5599 L (2, -53) [1, 1]
5600 U (2, -52) [0, 2]
5601 L (1, -52) [1, 1]
5602 D (1, -53) [1, 1]
5603 L (0, -53) [1, 1]
5604 D (0, -54) [0, 2]
5605 L (-1, -54) [0, 4]
5606 D (-1, -55) [1, 3]
5607 L (-2, -55) [1, 11]
5608 U (-2, -54) [1, 7]
5609 L (-3, -54) [0, 8]
5610 D (-3, -55) [1, 13]
5611 R (-2, -55) [0, 12]
5612 U (-2, -54) [0, 8]
5613 L (-3, -54) [1, 9]
5614 U (-3, -53) [1, 5]
5615 L (-4, -53) [0, 6]
5616 U (-4, -52) [0, 4]
5617 L (-5, -52) [0, 2]
5618 D (-5, -53) [0, 4]
5619 R (-4, -53) [1, 7]
5620 U (-4, -52) [1, 5]
5621 R (-3, -52) [0, 4]
5622 D (-3, -53) [0, 6]
5623 L (-4, -53) [0, 8]
5624 D (-4, -54) [0, 6]
5625 R (-3, -54) [0, 10]
5626 D (-3, -55) [0, 14]
5627 L (-4, -55) [0, 6]
5628 U (-4, -54) [1, 7]
5629 L (-5, -54) [0, 4]
5630 D (-5, -55) [1, 5]
5631 L (-6, -55) [1, 7]
5632 D (-6, -56) [1, 9]
5633 R (-5, -56) [1, 7]
5634 U (-5, -55) [0, 6]
5635 R (-4, -55) [1, 7]
5636 U (-4, -54) [0, 8]
5637 R (-3, -54) [1, 11]
5638 U (-3, -53) [1, 7]
5639 R (-2, -53) [0, 6]
5640 D (-2, -54) [1, 9]
5641 L (-3, -54) [0, 12]
5642 D (-3, -55) [1, 15]
5643 L (-4, -55) [0, 8]
5644 D (-4, -56) [0, 6]
5645 L (-5, -56) [0, 8]
5646 D (-5, -57) [0, 6]
5647 L (-6, -57) [0, 8]
5648 D (-6, -58) [0, 8]
5649 R (-5, -58) [0, 4]
5650 D (-5, -59) [0, 6]
5651 R (-4, -59) [0, 2]
5652 D (-4, -60) [0, 2]
5653 R (-3, -60) [0, 0]
5654 D (-3, -61) [0, 0]
5655 L (-4, -61) [1, 1]
5656 D (-4, -62) [0, 0]
5657 L (-5, -62) [1, 1]
5658 D (-5, -63) [0, 0]
5659 L (-6, -63) [0, 0]
5660 U (-6, -62) [1, 1]
5661 L (-7, -62) [0, 0]
5662 U (-7, -61) [0, 2]
5663 R (-6, -61) [1, 3]
5664 U (-6, -60) [1, 5]
5665 L (-7, -60) [1, 3]
5666 U (-7, -59) [1, 5]
5667 L (-8, -59) [0, 2]
5668 D (-8, -60) [1, 3]
5669 R (-7, -60) [0, 4]
5670 D (-7, -61) [1, 3]
5671 L (-8, -61) [1, 1]
5672 D (-8, -62) [0, 0]
5673 L (-9, -62) [0, 0]
5674 D (-9, -63) [0, 0]
5675 R (-8, -63) [0, 0]
5676 U (-8, -62) [1, 1]
5677 R (-7, -62) [1, 1]
5678 U (-7, -61) [0, 4]
5679 L (-8, -61) [0, 2]
5680 U (-8, -60) [0, 4]
5681 L (-9, -60) [1, 1]
5682 U (-9, -59) [1, 3]
5683 L (-10, -59) [1, 5]
5684 D (-10, -60) [0, 0]
5685 L (-11, -60) [0, 0]
5686 U (-11, -59) [1, 3]
5687 R (-10, -59) [0, 6]
5688 U (-10, -58) [1, 7]
5689 L (-11, -58) [0, 6]
5690 U (-11, -57) [0, 4]
5691 R (-10, -57) [0, 4]
5692 U (-10, -56) [1, 3]
5693 R (-9, -56) [1, 3]
5694 D (-9, -57) [0, 4]
5695 L (-10, -57) [1, 5]
5696 D (-10, -58) [0, 8]
5697 R (-9, -58) [1, 3]
5698 U (-9, -57) [1, 5]
5699 R (-8, -57) [1, 3]
5700 U (-8, -56) [1, 3]
5701 L (-9, -56) [0, 4]
5702 U (-9, -55) [0, 2]
5703 L (-10, -55) [1, 3]
5704 U (-10, -54) [1, 3]
5705 L (-11, -54) [1, 3]
5706 U (-11, -53) [1, 5]
5707 L (-12, -53) [0, 4]
5708 D (-12, -54) [1, 3]
5709 L (-13, -54) [1, 1]
5710 U (-13, -53) [1, 1]
5711 R (-12, -53) [1, 5]
5712 U (-12, -52) [0, 2]
5713 R (-11, -52) [1, 3]
5714 D (-11, -53) [0, 6]
5715 R (-10, -53) [1, 1]
5716 D (-10, -54) [0, 4]
5717 R (-9, -54) [0, 2]
5718 D (-9, -55) [1, 3]
5719 L (-10, -55) [0, 4]
5720 D (-10, -56) [0, 4]
5721 R (-9, -56) [1, 5]
5722 D (-9, -57) [0, 6]
5723 L (-10, -57) [0, 6]
5724 D (-10, -58) [1, 9]
5725 R (-9, -58) [0, 4]
5726 U (-9, -57) [1, 7]
5727 L (-10, -57) [1, 7]
5728 D (-10, -58) [0, 10]
5729 R (-9, -58) [1, 5]
5730 U (-9, -57) [0, 8]
5731 R (-8, -57) [0, 4]
5732 U (-8, -56) [0, 4]
5733 R (-7, -56) [1, 5]
5734 U (-7, -55) [0, 4]
5735 L (-8, -55) [0, 2]
5736 U (-8, -54) [0, 0]
5737 L (-9, -54) [1, 3]
5738 U (-9, -53) [0, 0]
5739 R (-8, -53) [1, 1]
5740 D (-8, -54) [1, 1]
5741 R (-7, -54) [1, 1]
5742 U (-7, -53) [1, 1]
5743 L (-8, -53) [0, 2]
5744 D (-8, -54) [0, 2]
5745 L (-9, -54) [0, 4]
5746 U (-9, -53) [1, 1]
5747 L (-10, -53) [0, 2]
5748 D (-10, -54) [1, 5]
5749 R (-9, -54) [1, 5]
5750 D (-9, -55) [0, 4]
5751 R (-8, -55) [1, 3]
5752 D (-8, -56) [1, 5]
5753 L (-9, -56) [0, 6]
5754 U (-9, -55) [1, 5]
5755 L (-10, -55) [1, 5]
5756 D (-10, -56) [1, 5]
5757 L (-11, -56) [1, 3]
5758 D (-11, -57) [1, 5]
5759 L (-12, -57) [1, 3]
5760 U (-12, -56) [0, 2]
5761 R (-11, -56) [0, 4]
5762 U (-11, -55) [0, 2]
5763 L (-12, -55) [0, 0]
5764 U (-12, -54) [0, 4]
5765 L (-13, -54) [0, 2]
5766 D (-13, -55) [0, 2]
5767 R (-12, -55) [1, 1]
5768 D (-12, -56) [1, 3]
5769 L (-13, -56) [1, 3]
5770 U (-13, -55) [1, 3]
5771 L (-14, -55) [0, 2]
5772 U (-14, -54) [1, 1]
5773 L (-15, -54) [1, 1]
5774 D (-15, -55) [0, 0]
5775 L (-16, -55) [0, 0]
5776 U (-16, -54) [0, 0]
5777 R (-15, -54) [0, 2]
5778 U (-15, -53) [1, 1]
5779 R (-14, -53) [0, 2]
5780 U (-14, -52) [1, 1]
5781 R (-13, -52) [0, 2]
5782 D (-13, -53) [0, 2]
5783 R (-12, -53) [0, 6]
5784 U (-12, -52) [1, 3]
5785 L (-13, -52) [1, 3]
5786 D (-13, -53) [1, 3]
5787 R (-12, -53) [1, 7]
5788 U (-12, -52) [0, 4]
5789 L (-13, -52) [0, 4]
5790 U (-13, -51) [0, 2]
5791 L (-14, -51) [1, 1]
5792 D (-14, -52) [0, 2]
5793 L (-15, -52) [0, 0]
5794 U (-15, -51) [1, 1]
5795 R (-14, -51) [0, 2]
5796 U (-14, -50) [0, 2]
5797 L (-15, -50) [1, 3]
5798 U (-15, -49) [0, 2]
5799 R (-14, -49) [1, 1]
5800 U (-14, -48) [0, 0]
5801 R (-13, -48) [1, 7]
5802 D (-13, -49) [0, 6]
5803 L (-14, -49) [0, 2]
5804 U (-14, -48) [1, 1]
5805 R (-13, -48) [0, 8]
5806 D (-13, -49) [1, 7]
5807 R (-12, -49) [0, 8]
5808 U (-12, -48) [1, 11]
5809 L (-13, -48) [1, 9]
5810 U (-13, -47) [0, 4]
5811 R (-12, -47) [0, 6]
5812 U (-12, -46) [1, 1]
5813 L (-13, -46) [1, 3]
5814 D (-13, -47) [1, 5]
5815 L (-14, -47) [1, 3]
5816 D (-14, -48) [0, 2]
5817 R (-13, -48) [0, 10]
5818 D (-13, -49) [0, 8]
5819 R (-12, -49) [1, 9]
5820 D (-12, -50) [1, 3]
5821 R (-11, -50) [1, 3]
5822 U (-11, -49) [0, 4]
5823 L (-12, -49) [0, 10]
5824 D (-12, -50) [0, 4]
5825 R (-11, -50) [0, 4]
5826 U (-11, -49) [1, 5]
5827 L (-12, -49) [1, 11]
5828 D (-12, -50) [1, 5]
5829 R (-11, -50) [1, 5]
5830 D (-11, -51) [1, 3]
5831 L (-12, -51) [0, 2]
5832 D (-12, -52) [1, 5]
5833 R (-11, -52) [0, 4]
5834 D (-11, -53) [1, 7]
5835 R (-10, -53) [1, 3]
5836 U (-10, -52) [0, 2]
5837 L (-11, -52) [1, 5]
5838 U (-11, -51) [0, 4]
5839 L (-12, -51) [1, 3]
5840 U (-12, -50) [0, 6]
5841 L (-13, -50) [0, 2]
5842 U (-13, -49) [1, 9]
5843 R (-12, -49) [0, 12]
5844 D (-12, -50) [1, 7]
5845 L (-13, -50) [1, 3]
5846 U (-13, -49) [0, 10]
5847 R (-12, -49) [1, 13]
5848 D (-12, -50) [0, 8]
5849 L (-13, -50) [0, 4]
5850 D (-13, -51) [1, 3]
5851 R (-12, -51) [0, 4]
5852 D (-12, -52) [0, 6]
5853 R (-11, -52) [0, 6]
5854 D (-11, -53) [0, 8]
5855 R (-10, -53) [0, 4]
5856 U (-10, -52) [1, 3]
5857 L (-11, -52) [1, 7]
5858 U (-11, -51) [1, 5]
5859 L (-12, -51) [1, 5]
5860 D (-12, -52) [1, 7]
5861 L (-13, -52) [1, 5]
5862 D (-13, -53) [0, 4]
5863 L (-14, -53) [1, 3]
5864 D (-14, -54) [0, 2]
5865 L (-15, -54) [1, 3]
5866 D (-15, -55) [1, 1]
5867 L (-16, -55) [1, 1]
5868 U (-16, -54) [1, 1]
5869 R (-15, -54) [0, 4]
5870 U (-15, -53) [0, 2]
5871 L (-16, -53) [0, 0]
5872 D (-16, -54) [0, 2]
5873 L (-17, -54) [0, 0]
5874 D (-17, -55) [0, 0]
5875 L (-18, -55) [0, 0]
5876 D (-18, -56) [0, 0]
5877 R (-17, -56) [0, 0]
5878 U (-17, -55) [1, 1]
5879 R (-16, -55) [0, 2]
5880 D (-16, -56) [0, 0]
5881 L (-17, -56) [1, 1]
5882 D (-17, -57) [0, 0]
5883 L (-18, -57) [0, 0]
5884 U (-18, -56) [1, 1]
5885 L (-19, -56) [0, 0]
5886 U (-19, -55) [0, 0]
5887 R (-18, -55) [1, 1]
5888 U (-18, -54) [0, 0]
5889 L (-19, -54) [0, 0]
5890 U (-19, -53) [0, 0]
5891 R (-18, -53) [0, 0]
5892 U (-18, -52) [0, 0]
5893 R (-17, -52) [0, 0]
5894 D (-17, -53) [0, 0]
5895 R (-16, -53) [1, 1]
5896 U (-16, -52) [0, 0]
5897 R (-15, -52) [1, 1]
5898 D (-15, -53) [1, 3]
5899 R (-14, -53) [0, 4]
5900 D (-14, -54) [1, 3]
5901 R (-13, -54) [1, 3]
5902 U (-13, -53) [1, 5]
5903 L (-14, -53) [1, 5]
5904 D (-14, -54) [0, 4]
5905 L (-15, -54) [1, 5]
5906 U (-15, -53) [0, 4]
5907 R (-14, -53) [0, 6]
5908 U (-14, -52) [1, 3]
5909 R (-13, -52) [0, 6]
5910 D (-13, -53) [0, 6]
5911 R (-12, -53) [0, 8]
5912 U (-12, -52) [0, 8]
5913 L (-13, -52) [1, 7]
5914 U (-13, -51) [0, 4]
5915 R (-12, -51) [0, 6]
5916 U (-12, -50) [1, 9]
5917 L (-13, -50) [1, 5]
5918 D (-13, -51) [1, 5]
5919 L (-14, -51) [1, 3]
5920 D (-14, -52) [0, 4]
5921 L (-15, -52) [0, 2]
5922 U (-15, -51) [0, 2]
5923 R (-14, -51) [0, 4]
5924 U (-14, -50) [1, 3]
5925 L (-15, -50) [0, 4]
5926 U (-15, -49) [1, 3]
5927 R (-14, -49) [1, 3]
5928 D (-14, -50) [0, 4]
5929 R (-13, -50) [0, 6]
5930 U (-13, -49) [1, 11]
5931 L (-14, -49) [0, 4]
5932 U (-14, -48) [1, 3]
5933 L (-15, -48) [1, 1]
5934 D (-15, -49) [0, 4]
5935 R (-14, -49) [1, 5]
5936 U (-14, -48) [0, 4]
5937 L (-15, -48) [0, 2]
5938 D (-15, -49) [1, 5]
5939 R (-14, -49) [0, 6]
5940 D (-14, -50) [1, 5]
5941 L (-15, -50) [1, 5]
5942 D (-15, -51) [1, 3]
5943 L (-16, -51) [0, 2]
5944 D (-16, -52) [1, 1]
5945 R (-15, -52) [1, 3]
5946 D (-15, -53) [1, 5]
5947 R (-14, -53) [1, 7]
5948 U (-14, -52) [1, 5]
5949 R (-13, -52) [0, 8]
5950 D (-13, -53) [1, 7]
5951 L (-14, -53) [0, 8]
5952 D (-14, -54) [1, 5]
5953 L (-15, -54) [0, 6]
5954 U (-15, -53) [0, 6]
5955 L (-16, -53) [0, 2]
5956 D (-16, -54) [1, 3]
5957 L (-17, -54) [1, 1]
5958 U (-17, -53) [1, 1]
5959 R (-16, -53) [1, 3]
5960 U (-16, -52) [0, 2]
5961 L (-17, -52) [1, 1]
5962 D (-17, -53) [0, 2]
5963 R (-16, -53) [0, 4]
5964 D (-16, -54) [0, 4]
5965 L (-17, -54) [0, 2]
5966 U (-17, -53) [1, 3]
5967 R (-16, -53) [1, 5]
5968 D (-16, -54) [1, 5]
5969 L (-17, -54) [1, 3]
5970 U (-17, -53) [0, 4]
5971 R (-16, -53) [0, 6]
5972 U (-16, -52) [1, 3]
5973 L (-17, -52) [0, 2]
5974 U (-17, -51) [1, 1]
5975 L (-18, -51) [0, 0]
5976 U (-18, -50) [0, 0]
5977 L (-19, -50) [0, 0]
5978 D (-19, -51) [0, 0]
5979 R (-18, -51) [1, 1]
5980 D (-18, -52) [1, 1]
5981 R (-17, -52) [1, 3]
5982 U (-17, -51) [0, 2]
5983 L (-18, -51) [0, 2]
5984 U (-18, -50) [1, 1]
5985 R (-17, -50) [1, 3]
5986 U (-17, -49) [1, 3]
5987 L (-18, -49) [1, 1]
5988 D (-18, -50) [0, 2]
5989 L (-19, -50) [1, 1]
5990 U (-19, -49) [0, 0]
5991 L (-20, -49) [0, 0]
5992 D (-20, -50) [0, 0]
5993 L (-21, -50) [0, 0]
5994 U (-21, -49) [0, 0]
5995 L (-22, -49) [0, 0]
5996 D (-22, -50) [0, 0]
5997 R (-21, -50) [1, 1]
5998 D (-21, -51) [0, 0]
5999 L (-22, -51) [0, 0]
6000 D (-22, -52) [0, 0]
6001 L (-23, -52) [0, 0]
6002 U (-23, -51) [0, 0]
6003 R (-22, -51) [1, 1]
6004 U (-22, -50) [1, 1]
6005 L (-23, -50) [0, 0]
6006 U (-23, -49) [0, 0]
6007 R (-22, -49) [1, 1]
6008 D (-22, -50) [0, 2]
6009 L (-23, -50) [1, 1]
6010 D (-23, -51) [1, 1]
6011 R (-22, -51) [0, 2]
6012 D (-22, -52) [1, 1]
6013 R (-21, -52) [0, 0]
6014 U (-21, -51) [1, 1]
6015 R (-20, -51) [0, 0]
6016 D (-20, -52) [0, 0]
6017 L (-21, -52) [1, 1]
6018 U (-21, -51) [0, 2]
6019 R (-20, -51) [1, 1]
6020 D (-20, -52) [1, 1]
6021 L (-21, -52) [0, 2]
6022 U (-21, -51) [1, 3]
6023 R (-20, -51) [0, 2]
6024 D (-20, -52) [0, 2]
6025 R (-19, -52) [0, 0]
6026 D (-19, -53) [1, 1]
6027 R (-18, -53) [1, 1]
6028 D (-18, -54) [1, 1]
6029 R (-17, -54) [0, 4]
6030 U (-17, -53) [1, 5]
6031 R (-16, -53) [1, 7]
6032 U (-16, -52) [0, 4]
6033 L (-17, -52) [0, 4]
6034 U (-17, -51) [1, 3]
6035 L (-18, -51) [1, 3]
6036 D (-18, -52) [0, 2]
6037 R (-17, -52) [1, 5]
6038 D (-17, -53) [0, 6]
6039 R (-16, -53) [0, 8]
6040 D (-16, -54) [0, 6]
6041 R (-15, -54) [1, 7]
6042 D (-15, -55) [0, 2]
6043 L (-16, -55) [1, 3]
6044 D (-16, -56) [1, 1]
6045 L (-17, -56) [0, 2]
6046 D (-17, -57) [1, 1]
6047 R (-16, -57) [0, 0]
6048 U (-16, -56) [0, 2]
6049 R (-15, -56) [0, 0]
6050 D (-15, -57) [0, 0]
6051 L (-16, -57) [1, 1]
6052 U (-16, -56) [1, 3]
6053 L (-17, -56) [1, 3]
6054 U (-17, -55) [0, 2]
6055 L (-18, -55) [0, 2]
6056 U (-18, -54) [0, 2]
6057 L (-19, -54) [1, 1]
6058 D (-19, -55) [1, 1]
6059 R (-18, -55) [1, 3]
6060 U (-18, -54) [1, 3]
6061 L (-19, -54) [0, 2]
6062 D (-19, -55) [0, 2]
6063 R (-18, -55) [0, 4]
6064 U (-18, -54) [0, 4]
6065 R (-17, -54) [1, 5]
6066 U (-17, -53) [1, 7]
6067 L (-18, -53) [0, 2]
6068 D (-18, -54) [1, 5]
6069 L (-19, -54) [1, 3]
6070 U (-19, -53) [0, 2]
6071 L (-20, -53) [0, 0]
6072 U (-20, -52) [1, 3]
6073 L (-21, -52) [1, 3]
6074 D (-21, -53) [0, 0]
6075 L (-22, -53) [0, 0]
6076 D (-22, -54) [0, 0]
6077 R (-21, -54) [0, 0]
6078 D (-21, -55) [0, 0]
6079 R (-20, -55) [0, 0]
6080 U (-20, -54) [0, 0]
6081 R (-19, -54) [0, 4]
6082 D (-19, -55) [1, 3]
6083 L (-20, -55) [1, 1]
6084 U (-20, -54) [1, 1]
6085 L (-21, -54) [1, 1]
6086 D (-21, -55) [1, 1]
6087 R (-20, -55) [0, 2]
6088 D (-20, -56) [0, 0]
6089 L (-21, -56) [0, 0]
6090 U (-21, -55) [0, 2]
6091 R (-20, -55) [1, 3]
6092 U (-20, -54) [0, 2]
6093 L (-21, -54) [0, 2]
6094 D (-21, -55) [1, 3]
6095 L (-22, -55) [0, 0]
6096 D (-22, -56) [0, 0]
6097 R (-21, -56) [1, 1]
6098 U (-21, -55) [0, 4]
6099 R (-20, -55) [0, 4]
6100 D (-20, -56) [1, 1]
6101 R (-19, -56) [1, 1]
6102 D (-19, -57) [0, 0]
6103 L (-20, -57) [0, 0]
6104 U (-20, -56) [0, 2]
6105 L (-21, -56) [0, 2]
6106 U (-21, -55) [1, 5]
6107 L (-22, -55) [1, 1]
6108 U (-22, -54) [1, 1]
6109 L (-23, -54) [0, 0]
6110 U (-23, -53) [0, 0]
6111 L (-24, -53) [0, 0]
6112 D (-24, -54) [0, 0]
6113 L (-25, -54) [0, 0]
6114 U (-25, -53) [0, 0]
6115 R (-24, -53) [1, 1]
6116 U (-24, -52) [0, 0]
6117 L (-25, -52) [0, 0]
6118 D (-25, -53) [1, 1]
6119 L (-26, -53) [0, 0]
6120 U (-26, -52) [0, 0]
6121 R (-25, -52) [1, 1]
6122 U (-25, -51) [0, 0]
6123 R (-24, -51) [0, 0]
6124 D (-24, -52) [1, 1]
6125 R (-23, -52) [1, 1]
6126 D (-23, -53) [1, 1]
6127 R (-22, -53) [1, 1]
6128 U (-22, -52) [0, 2]
6129 L (-23, -52) [0, 2]
6130 U (-23, -51) [0, 2]
6131 R (-22, -51) [1, 3]
6132 D (-22, -52) [1, 3]
6133 R (-21, -52) [0, 4]
6134 D (-21, -53) [1, 1]
6135 L (-22, -53) [0, 2]
6136 D (-22, -54) [0, 2]
6137 R (-21, -54) [1, 3]
6138 D (-21, -55) [0, 6]
6139 L (-22, -55) [0, 2]
6140 U (-22, -54) [1, 3]
6141 L (-23, -54) [1, 1]
6142 U (-23, -53) [0, 2]
6143 L (-24, -53) [0, 2]
6144 U (-24, -52) [0, 2]
6145 L (-25, -52) [0, 2]
6146 U (-25, -51) [1, 1]
6147 L (-26, -51) [0, 0]
6148 D (-26, -52) [1, 1]
6149 R (-25, -52) [1, 3]
6150 U (-25, -51) [0, 2]
6151 L (-26, -51) [1, 1]
6152 U (-26, -50) [0, 0]
6153 R (-25, -50) [0, 0]
6154 D (-25, -51) [1, 3]
6155 R (-24, -51) [1, 1]
6156 U (-24, -50) [0, 0]
6157 L (-25, -50) [1, 1]
6158 D (-25, -51) [0, 4]
6159 R (-24, -51) [0, 2]
6160 U (-24, -50) [1, 1]
6161 L (-25, -50) [0, 2]
6162 D (-25, -51) [1, 5]
6163 R (-24, -51) [1, 3]
6164 U (-24, -50) [0, 2]
6165 L (-25, -50) [1, 3]
6166 U (-25, -49) [0, 0]
6167 R (-24, -49) [0, 0]
6168 U (-24, -48) [0, 0]
6169 R (-23, -48) [0, 0]
6170 D (-23, -49) [1, 1]
6171 L (-24, -49) [1, 1]
6172 D (-24, -50) [1, 3]
6173 L (-25, -50) [0, 4]
6174 D (-25, -51) [0, 6]
6175 L (-26, -51) [0, 2]
6176 D (-26, -52) [0, 2]
6177 L (-27, -52) [0, 0]
6178 U (-27, -51) [0, 0]
6179 R (-26, -51) [1, 3]
6180 U (-26, -50) [1, 1]
6181 R (-25, -50) [1, 5]
6182 D (-25, -51) [1, 7]
6183 L (-26, -51) [0, 4]
6184 U (-26, -50) [0, 2]
6185 R (-25, -50) [0, 6]
6186 D (-25, -51) [0, 8]
6187 L (-26, -51) [1, 5]
6188 D (-26, -52) [1, 3]
6189 R (-25, -52) [0, 4]
6190 U (-25, -51) [1, 9]
6191 R (-24, -51) [0, 4]
6192 U (-24, -50) [0, 4]
6193 L (-25, -50) [1, 7]
6194 D (-25, -51) [0, 10]
6195 L (-26, -51) [0, 6]
6196 U (-26, -50) [1, 3]
6197 L (-27, -50) [0, 0]
6198 D (-27, -51) [1, 1]
6199 L (-28, -51) [0, 0]
6200 U (-28, -50) [0, 0]
6201 L (-29, -50) [0, 0]
6202 U (-29, -49) [0, 0]
6203 R (-28, -49) [0, 0]
6204 U (-28, -48) [0, 0]
6205 R (-27, -48) [0, 0]
6206 D (-27, -49) [0, 0]
6207 R (-26, -49) [0, 0]
6208 D (-26, -50) [0, 4]
6209 R (-25, -50) [0, 8]
6210 D (-25, -51) [1, 11]
6211 R (-24, -51) [1, 5]
6212 U (-24, -50) [1, 5]
6213 L (-25, -50) [1, 9]
6214 D (-25, -51) [0, 12]
6215 L (-26, -51) [1, 7]
6216 D (-26, -52) [0, 4]
6217 L (-27, -52) [1, 1]
6218 D (-27, -53) [0, 0]
6219 L (-28, -53) [0, 0]
6220 U (-28, -52) [0, 0]
6221 L (-29, -52) [0, 0]
6222 D (-29, -53) [0, 0]
6223 R (-28, -53) [1, 1]
6224 D (-28, -54) [0, 0]
6225 L (-29, -54) [0, 0]
6226 D (-29, -55) [0, 0]
6227 L (-30, -55) [0, 0]
6228 D (-30, -56) [0, 0]
6229 L (-31, -56) [0, 0]
6230 U (-31, -55) [0, 0]
6231 R (-30, -55) [1, 1]
6232 U (-30, -54) [0, 0]
6233 R (-29, -54) [1, 1]
6234 D (-29, -55) [1, 1]
6235 R (-28, -55) [0, 0]
6236 D (-28, -56) [0, 0]
6237 L (-29, -56) [0, 0]
6238 U (-29, -55) [0, 2]
6239 R (-28, -55) [1, 1]
6240 U (-28, -54) [1, 1]
6241 L (-29, -54) [0, 2]
